generator,number,operator,zone,max_quantity,min_quantity
UP_ITAVSERIO_2,1,['ITALGEN S.P.A.'],['NORD'],5,5
UPV_SWGDOEEFTGNO,2,['ENERGY FINANCING TEAM AG'],['SVIZ'],2,2
UPV_RTEP106135O,3,['VATTENFALL ENERGY TRADING GMBH'],['FRAN'],1,1
UPV_SWGMOEREISZO,4,['REPOWER ITALIA SPA'],['SVIZ'],5,5
UP_DI2433_SUD_A,5,['ENERCITY s.r.l.'],['SUD'],1023,1
UP_MANDELA_1,6,['ACEA ENERGIA SPA'],['CSUD'],4.4,2.5
UPV_SWGDOEETSNLO,7,['ENEL GLOBAL TRADING SPA'],['SVIZ'],24,18
UP_DI1902_CNOR_B,8,['EN.E.R. TRADING S.p.A.'],['CNOR'],2229,1
UP_SND_BOFFA_1,9,['YOUTRADE SPA - IN LIQUIDAZIONE'],['NORD'],70,10
UP_DI1900_CNOR_G,10,['YOUTRADE SPA - IN LIQUIDAZIONE'],['CNOR'],0.05,0.05
UP_DI1902_NORD_A,11,['EN.E.R. TRADING S.p.A.'],['NORD'],3262,102
UP_NPWRMNTOVA_1,12,['Bilateralista'],['NORD'],19,10
UPV_SWGY104946O,13,['SHELL ENERGY EUROPE LIMITED'],['SVIZ'],179,90
UP_FONDOVALL_1,14,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],16467,1023
UP_LA_PENNA_1,15,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['CNOR'],52654,6449
UP_DI2604_NORD_C,16,['ASPM COMMERCIALE S.R.L.'],['NORD'],72,0.06
UP_DI2326_CSUD_C,17,['METAENERGIA SPA'],['CSUD'],14,104
UP_DI2570_NORD_G,18,['NGC 6611 SRL'],['NORD'],60.66,0.23
UP_DI2568_SICI_C,19,['GREEN NETWORK SPA'],['SICI'],6984,0.07
UP_DI2554_CNOR_G,20,['BANCO ENERGIA SPA'],['CNOR'],11389,251
UP_DI2326_SUD_A,21,['METAENERGIA SPA'],['SUD'],6,0.9
UP_DI1902_SUD_C,22,['EN.E.R. TRADING S.p.A.'],['SUD'],9258,1125
UPV_HELMOEGTIPER,23,['GEN-I TRGOVANJE IN PRODAJA ELEKTRICNE ENERGIJE D.O.O.'],['GREC'],178,1
UP_DI1902_NORD_B,24,['EN.E.R. TRADING S.p.A.'],['NORD'],2.02,2
UP_DI1902_CSUD_C,25,['EN.E.R. TRADING S.p.A.'],['CSUD'],6675,2
UP_DI1900_NORD_C,26,['YOUTRADE SPA - IN LIQUIDAZIONE'],['NORD'],3658,1
UP_DI1900_NORD_B,27,['YOUTRADE SPA - IN LIQUIDAZIONE'],['NORD'],4588,6
UP_SRRCPRIOLA_1,28,"['DUFERCO ENERGIA S.p.A.', 'ENEL PRODUZIONE S.P.A.']",['SUD'],84577,2
UP_DI1625_SICI_C,29,['Bilateralista'],['SICI'],6728,1
UP_DI0182_NORD_Z,30,['ENEL PRODUZIONE S.P.A.'],['NORD'],768,0.2
UP_FIUMESANT_4,31,['EP PRODUZIONE SPA'],['SARD'],2466,1
UP_DI0029_CNOR_E,32,['C.U.RA. CONSORZIO UTILITIES RAVENNA S.C.R.L.'],['CNOR'],15.6,1
UP_DI2182_NORD_B,33,['ENOI S.P.A.'],['NORD'],76618,1
UPV_SWGYOEMSLTTO,34,['DOLOMITI ENERGIA TRADING SPA'],['SVIZ'],40,2
UPV_HELM125142R,35,['Volton Hellenic Energy S.A.'],['GREC'],6,1
UP_TOPPA_2,36,['AXPO ITALIA SPA'],['CSUD'],51164,0.01
UPV_HELY111583R,37,['WATT AND VOLT S.A.'],['GREC'],53,53
UPV_SWGYOEGTIPEO,38,['GEN-I TRGOVANJE IN PRODAJA ELEKTRICNE ENERGIJE D.O.O.'],['SVIZ'],25,5
UPV_RTEPOEENSPAO,39,['ENOI S.P.A.'],['FRAN'],25,25
UPV_HELMOETHSSLR,40,"['ELPEDISON POWER GNERATION SA (ELPEDISON SA),  ']",['GREC'],35,20
UPV_HELM113281R,41,['SENTRADE S.A.'],['GREC'],5,5
UPV_HELYOEINTRNR,42,['INTERENERGO D.O.O.'],['GREC'],1,1
UPV_RTEPOEEESDWO,43,['EDELWEISS ENERGIA S.P.A.'],['FRAN'],60,1
UP_PAISCO_1,44,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],15475,4
UP_NOVALT16_2,45,['ELECTRADE SPA'],['CNOR'],48,1
UP_DI2228_SUD_C,46,['ROMA GAS E POWER SPA'],['SUD'],16448,1
UPV_HELMOEEFTGNR,47,['ENERGY FINANCING TEAM AG'],['GREC'],10,10
UP_DI0370_SUD_C,48,['BURGO ENERGIA S.R.L.'],['SUD'],8477,2
UP_SARLUX_1,49,['GSE SPA'],['SARD'],2807,236
UP_SCHVFNTGLT_1,50,['EDISON SPA'],['CSUD'],9472,29
UP_DI2600_NORD_G,51,"[""GRUPPO SOCIETA' GAS RIMINI SPA""]",['NORD'],0.03,7
UP_ORSARA_4,52,['EDISON SPA'],['SUD'],96704,35
UPV_SWGDOEEISPGO,53,['AXPO ITALIA SPA'],['SVIZ'],325,5
UP_RIVADEL_3,54,['DOLOMITI ENERGIA TRADING SPA'],['NORD'],660,0
UP_DI2373_CNOR_C,55,['API N??VA ENERGIA A R.L.'],['CNOR'],15788,1
UP_DI2182_CSUD_B,56,['ENOI S.P.A.'],['CSUD'],22772,3
UP_PRCLCPGGML_1,57,['2V ENERGY SRL'],['CNOR'],19021,18
UPV_HELD108528R,58,['NOVAERA ENERGY SA'],['GREC'],2,1
UP_DI2513_NORD_Z,59,['4ENERGIA SRL'],['NORD'],0.2,164
UP_NPWRRVENNA_3,60,['Bilateralista'],['NORD'],74,6
UPV_SWGM112125O,61,['MERCURIA ENERGY TRADING SA'],['SVIZ'],280,20
UPV_HELD105401R,62,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['GREC'],419317,1
UPV_HELDOETEPTSR,63,['NECO S.A.'],['GREC'],60,2
UP_PRACOMUNE_1,64,['ENEL PRODUZIONE S.P.A.'],['NORD'],145651,0
UPV_SWGDOEBESRNO,65,['BURGO ENERGIA S.R.L.'],['SVIZ'],15,2
UP_DI2529_NORD_G,66,"['E.ON ENERGIA SPA', 'Bilateralista']",['NORD'],4687,2
UP_DI0367_NORD_B,67,['CRE SCPA CONSORZIO PER LE RISORSE ENERGETICHE SCPA'],['NORD'],4653,1
UP_CNTRALETEL_11,68,"['Bilateralista', 'ALPERIA ENERGY SRL']",['NORD'],43691,0.9
UP_DI1170_SUD_Z,69,"['Bilateralista', 'EDELWEISS ENERGIA S.P.A.']",['SUD'],2633,3
UPV_SWGMOEINTRNO,70,['INTERENERGO D.O.O.'],['SVIZ'],130,1
UPV_SWGD126324O,71,['MFT ENERGY '],['SVIZ'],240,1
UPV_SWGD125601O,72,['In Commodities A/S'],['SVIZ'],864,0.2
UPV_HELYOEDCANSR,73,['DANSKE COMMODITIES A.S'],['GREC'],56,14
UP_DI2126_SUD_C,74,['FREE ENERGIA SPA'],['SUD'],5136,5
UP_S.F._DEL_1,75,['A2A ENERGIEFUTURE S.P.A.'],['SICI'],629,0.1
UP_RLNAEOLICO_1,76,"['BANCO ENERGIA SPA', 'BAYWA R.E. CLEAN ENERGY S.r.l.']",['CSUD'],50,20
UP_PRCLCLRCLP_1,77,['EDP RENEWABLES ITALIA HOLDING SRL'],['SUD'],16693,11
UP_DI1676_SARD_B,78,['Bilateralista'],['SARD'],6,1
UP_LCSELLACLE_5,79,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],5070,1069
UP_EPSISTEMI_1,80,['EGO TRADE SPA'],['CSUD'],35.4,1
UP_DI2665_CSUD_Z,81,['BAYWA R.E. CLEAN ENERGY S.r.l.'],['CSUD'],24,16
UP_MEGASOL13_1,82,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['CSUD'],61093,1
UP_DI2655_SUD_C,83,['RENEWABLE DISPATCHING S.R.L.'],['SUD'],2796,19
UP_ORTICA_1,84,"['Bilateralista', 'A2A SPA']",['SUD'],2170,20
UPV_HELDOEEZPDSR,85,['EZPADA S.R.O.'],['GREC'],150,1
UP_DI2655_NORD_C,86,['RENEWABLE DISPATCHING S.R.L.'],['NORD'],3069,0.8
UP_DI2529_CSUD_G,87,['Bilateralista'],['CSUD'],9,1
UP_DI2513_SUD_Z,88,"['Bilateralista', '4ENERGIA SRL']",['SUD'],6585,3
UP_TOR_DI_VA_2,89,['ACEA ENERGIA SPA'],['CSUD'],27,0
UP_AIROLE_1,90,['TIRRENO POWER S.P.A.'],['NORD'],10,0.28
UP_DI1170_SARD_C,91,"['Bilateralista', 'EDELWEISS ENERGIA S.P.A.']",['SARD'],101.92,1
UP_DI2513_CSUD_Z,92,"['Bilateralista', '4ENERGIA SRL']",['CSUD'],1535,1
UPV_SWGYOEDFRCNO,93,['DUFERCO ENERGIA S.p.A.'],['SVIZ'],50,1
UP_DI0182_NORD_B,94,['ENEL PRODUZIONE S.P.A.'],['NORD'],4925,1
UP_CETOBRA_1,95,"['Bilateralista', 'ENEL PRODUZIONE S.P.A.']",['NORD'],16.67,2.94
UPV_SWGDOECKWGSO,96,['CENTRALSCHWEIZERISCHE KRAFTWERKE AG (CKW AG)'],['SVIZ'],450,6
UP_DENITTIS1_1,97,"['GREEN NETWORK SPA', 'ENEL PRODUZIONE S.P.A.']",['SUD'],18677,1
UPV_MALROEETSNLM,98,['ENEL PRODUZIONE S.P.A.'],['MALT'],300,1
UP_DI1900_CSUD_C,99,['YOUTRADE SPA - IN LIQUIDAZIONE'],['CSUD'],292,1
UP_DI0370_SARD_C,100,['BURGO ENERGIA S.R.L.'],['SARD'],2165,1
UP_NDRMDA45MW_1,101,['GSE SPA'],['CSUD'],61866,1
UPV_HELY110522R,102,['ENSCO ENERGY SERVICES COMPANY AG'],['GREC'],3,1
UP_M._CIAPEL_1,103,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],22876,0
UP_SRRCPROLA2_1,104,"['DUFERCO ENERGIA S.p.A.', 'ENEL PRODUZIONE S.P.A.']",['SUD'],20059,1
UP_NPWRRVENNA_9,105,['Bilateralista'],['NORD'],482,0
UP_DI2645_SUD_C,106,['ENERCITY s.r.l.'],['SUD'],106,1
UP_TRMVLRZZTR_2,107,['GSE SPA'],['SUD'],15,1.5
UP_RETE_2_1,108,"['Bilateralista', 'IREN ENERGIA SPA']",['NORD'],178,1.5
UP_DI2525_CNOR_C,109,"['ECOWAY SRL', 'ECOWAY SPA']",['CNOR'],56.23,1
UP_PNRGIAIGCC_1,110,"['Bilateralista', 'ENGIE ITALIA SPA']",['CNOR'],1075,20
UP_FUSINA_T_2,111,"['ENEL PRODUZIONE S.P.A.', 'Bilateralista']",['NORD'],620,0
UP_DI2554_SUD_G,112,['BANCO ENERGIA SPA'],['SUD'],22495,0.25
UP_DI2345_NORD_C,113,['ILLUMIA Spa'],['NORD'],2345,1
UP_DI2061_CNOR_G,114,"['DXT COMMODITIES SA', 'DUFENERGY TRADING SA']",['CNOR'],1.7,1
UP_PBRLLPARMA_1,115,"['FENICE S.P.A.', 'Bilateralista']",['NORD'],34152,0.5
UP_DI2628_NORD_G,116,['YOUTRADE SPA - IN LIQUIDAZIONE'],['NORD'],894,298
UP_DI2055_NORD_Z,117,"['EGO TRADE SPA', 'EGO TRADE SRL']",['NORD'],74997,562
UP_DI2564_SUD_C,118,['FENIX SRL'],['SUD'],40638,1
UP_DI2055_CNOR_B,119,['EGO TRADE SRL'],['CNOR'],2.02,1
UP_DI0062_CSUD_B,120,['AXPO ITALIA SPA'],['CSUD'],22055,1
UP_DI2061_NORD_B,121,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['NORD'],109932,112
