,y,y_hat
0,[6640.652],6206.272881355935
1,[5773.073],5255.044389830506
2,[5446.925],5322.664254237292
3,[5338.8],5297.772203389828
4,[8639.724],8493.238169491522
5,[9050.896],8809.690847457627
6,[5267.394],4511.253932203391
7,[3148.554],2105.1135932203397
8,[5248.109],4588.047440677964
9,[5288.746],5120.135830508473
10,[5080.786],5007.358203389828
11,[4829.128],4205.211389830507
12,[3591.307],2652.974796610171
13,[3218.209],2188.360186440679
14,[2189.148],1054.0117288135593
15,[3549.714],2630.3108813559343
16,[3842.4],3487.158779661017
17,[4595.076],4490.519389830507
18,[4712.557],4039.755915254237
19,[4071.484],3190.2522711864403
20,[4180.666],3314.3118305084754
21,[2638.201],1562.699033898305
22,[5307.969],4671.05574879348
23,[2481.903],1935.542322033898
24,[3666.991],3436.8465932203376
25,[4635.132],3951.832610169494
26,[4501.396],3678.457423728812
27,[4610.417],3500.6671694915267
28,[2779.118],567.0590169491529
29,[349.205],-1364.4072033898299
30,[3507.884],2727.0800677966095
31,[3901.962],3419.610271186441
32,[3964.621],2812.898288135593
33,[4189.84],2939.068610169492
34,[4240.362],3021.770813559322
35,[2532.698],1107.9005762711854
36,[4866.025],3800.2582203389834
37,[4631.501],4041.9071016949133
38,[4594.971],4249.116084745761
39,[4633.553],3657.8820847457637
40,[4232.185],3067.548661016949
41,[4042.265],2803.660118644069
42,[2352.007],936.080084745764
43,[4682.55],3654.731016949151
44,[4316.675],3764.48679661017
45,[4433.473],4115.166559322033
46,[4521.348],3589.534983050846
47,[4223.995],3136.5048305084747
48,[4165.35],3027.693341368359
49,[2552.11],1253.8742033898297
50,[4715.871],3808.6064568813163
51,[4615.887],4123.958305912884
52,[4953.695],4637.89527118644
53,[5047.317],4258.970016949152
54,[4704.404],3702.856067796609
55,[4283.775],3182.90381355932
56,[2498.623],1162.4403559322045
57,[4701.],3693.1441355932193
58,[4749.742],4249.948644067794
59,[5196.376],5000.541966101697
60,[4773.583],4638.058932203395
61,[3429.194],3155.6033559322036
62,[3684.945],3460.69347457627
63,[3127.111],2379.6380508474567
64,[5429.224],4938.149830508473
65,[5222.858],5216.819220338984
66,[5474.519],5789.904083732305
67,[5053.642],5027.273593220335
68,[4704.589],4625.381271186438
69,[4665.815],4609.54774576271
70,[4023.806],3914.609796610169
71,[6625.913],7037.385000000001
72,[6852.948],7345.793981612591
73,[7055.617],7715.477203389828
74,[6218.625],6580.511237288135
75,[6419.089],6768.470559322034
76,[6555.095],6820.860288135589
77,[4027.578],3934.6994915254245
78,[6638.444],6986.506372881359
79,[7590.903],8053.308016949152
80,[7476.95],8133.051540572119
81,[7660.299],7979.258999999997
82,[7508.126],8189.647762711862
83,[7284.414],7774.912033898308
84,[4489.965],4470.281338983051
85,[7114.781],7469.138338513103
86,[7047.864],7378.365288135595
87,[6740.58],7277.727389830512
88,[6600.737],7448.402355932199
89,[6240.858],6611.430745762715
90,[8999.389],9690.56554237288
91,[7178.633],7614.431237288137
92,[10304.932],11134.097016949148
93,[10843.836],11739.222305084744
94,[10292.454],11344.624305084744
95,[10914.264],11734.364203389827
96,[11233.636],12128.840745762705
97,[10257.67],11025.49359322034
98,[8396.918],8907.204779661022
99,[11538.379],12529.04937288136
100,[11749.348],12794.37620338983
101,[12825.367],14245.483610169496
102,[11734.828],12691.069084745764
103,[12135.179],13195.315135593211
104,[10733.125],11587.315101694912
105,[8843.908],9430.017830508476
106,[11780.672],12805.306169491529
107,[12675.471],13829.385710888815
108,[13306.151],14764.32605084745
109,[12771.079],13863.310593220333
110,[12196.017],13223.831237288141
111,[10676.057],11451.970491525426
112,[8761.296],9264.886372881358
113,[11291.579],12184.755271186443
114,[11724.537],12733.45388135594
115,[12079.805],13378.948297429139
116,[12347.963],13384.839338983054
117,[11557.957],12481.104796610167
118,[9500.126],10083.685322033893
119,[8228.502],8696.965622651498
120,[10396.48],11341.196745762705
121,[10916.484],11897.031661016945
122,[11475.773],12607.79496610169
123,[12593.244],13564.636542372878
124,[11801.03],12692.985525423735
125,[9455.105],9994.845468709675
126,[6983.898],7245.6276271186425
127,[8699.945],9241.68818644068
128,[8803.278],9364.289932203385
129,[9160.836],9857.382440677964
130,[8854.63],9156.829010953003
131,[8307.98],8505.272474576272
132,[8350.605],8526.196593220337
133,[7126.212],7249.274644067796
134,[9086.416],9448.087418277197
135,[6901.047],6947.955745762708
136,[8799.297],9446.309745762708
137,[9831.472],10264.424949152546
138,[9507.882],9767.811341552138
139,[7601.3],7618.16101694915
140,[7090.837],7013.6218135593235
141,[9474.313],9740.914589773214
142,[10119.382],10503.784440677966
143,[9677.917],10381.368101846687
144,[10158.196],10570.86244067796
145,[10308.855],10751.023271186443
146,[9339.726],9692.152576271186
147,[7998.557],8188.091894323261
148,[11048.295],11700.15086440678
149,[10681.486],10909.566949152542
150,[12621.903],13359.973508474573
151,[12645.055],12962.359813559327
152,[14000.12],14428.090711864403
153,[10817.658],10888.872101694915
154,[9562.117],9378.775033898302
155,[13863.674],14220.289322033905
156,[14638.288],15232.270101694914
157,[14188.758],14974.09223728813
158,[13752.541],14052.766355932197
159,[13837.497],14120.635847457621
160,[10372.737],10040.177000000003
161,[8289.713],7822.5787414481
162,[9683.733],9351.333542372879
163,[9788.579],9660.504966101698
164,[9980.238],10134.31664406779
165,[10427.512],10244.03267796611
166,[9265.398],8803.015220338986
167,[6202.416],5239.197694915255
168,[7554.619],6847.302389830504
169,[9659.623],9315.70516949152
170,[9670.457],9534.104457627114
171,[9245.122],9310.72552542372
172,[9871.624],9679.087728813554
173,[9106.451],8751.456288135594
174,[5862.543],5019.524423728814
175,[7116.869],6407.568118644063
176,[9023.043],8679.325847457623
177,[9230.833],9194.31869491526
178,[9106.054],9225.044101694917
179,[9323.943],9178.514254237294
180,[9048.577],8795.301474576274
181,[5722.675],4942.593945043493
182,[7763.249],7108.334423728814
183,[12783.138],12916.30518644068
184,[13879.332],14479.227186440668
185,[13866.48],14799.711439187486
186,[13377.588],14011.844677966097
187,[13673.147],14333.468220338984
188,[10382.414],10548.051694915262
189,[8183.329],8092.30513559322
190,[12990.661],13625.600796610164
191,[14177.914],14968.057593220328
192,[13990.919],14921.726728813554
193,[13716.064],14343.812881355932
194,[13616.181],14526.707644067797
195,[10107.986],10285.435355932204
196,[7955.754],7701.419355932199
197,[12503.42],12909.594644067798
198,[13657.647],14478.84659322034
199,[13790.953],14699.443305084751
200,[13876.577],14473.494152542373
201,[13674.917],14157.023440677962
202,[10357.661],10449.829677966096
203,[8037.472],7749.916203389832
204,[12896.372],13247.221850440645
205,[13853.313],14465.324796610166
206,[13954.103],14761.634695827215
207,[13680.693],14037.628322033897
208,[13386.735],13753.548471782298
209,[10009.231],9654.9703898305
210,[7812.476],7157.211050847457
211,[12971.624],12832.166915254236
212,[13585.767],13961.10381355932
213,[9018.969],8945.321813559322
214,[13670.602],13644.422745762713
215,[14155.929],14090.524389830502
216,[11062.452],10638.546101694923
217,[8951.534],8300.550000000003
218,[13858.512],13861.361491525426
219,[14821.808],15425.07186440678
220,[15295.651],16245.608694915256
221,[14993.857],15713.873813559327
222,[15458.446],16227.24152542373
223,[11300.992],11480.077288135595
224,[9389.591],9248.85594915254
225,[14947.818],15718.315675134421
226,[15598.982],16873.09264406779
227,[15706.469],16811.80459322034
228,[15697.237],16515.896525423726
229,[15586.521],16388.69916949153
230,[11864.662],12219.853864406776
231,[9820.384],9813.43620338983
232,[15043.127],15848.100016949156
233,[16134.647],17527.47466101695
234,[16057.647],17269.955881355938
235,[15468.545],16342.51137288136
236,[15722.004],16602.162779661016
237,[11803.056],12168.751186440673
238,[9815.455],9882.10069491525
239,[15122.903],15946.540423728813
240,[16020.542],17416.86294915255
241,[16376.942],17544.900372881348
242,[15938.892],16366.790847457632
243,[13581.622],13541.254542372882
244,[9541.319],8954.856524443238
245,[7588.234],6803.236847457624
246,[12643.372],12503.741491525416
247,[13649.495],14092.489033898299
248,[13547.966],14275.374406779665
249,[13094.46],13108.53444067797
250,[7123.418],6166.876169491525
251,[9377.587],8752.05045762712
252,[7593.36],6763.16284745763
253,[12756.646],12640.098881355927
254,[13837.264],14342.928813559327
255,[14130.928],14968.239728813556
256,[14030.463],14237.5196779661
257,[14194.869],14267.712661016945
258,[10274.066],9797.199966101696
259,[8077.478],7291.159491525422
260,[13293.668],13241.973220338983
261,[14356.631],14898.864220338983
262,[14072.424],14890.72257627119
263,[13753.231],13869.415271186444
264,[12809.938],12668.463423728816
265,[9111.332],8454.685084745757
266,[7420.415],6571.563745762715
267,[7138.941],6291.782491525427
268,[8530.51],8330.005457627127
269,[10544.473],10914.91327118644
270,[9846.51],9422.765728813556
271,[10416.671],9986.963067796603
272,[8348.708],8257.825152542371
273,[4186.669],2900.7120436985115
274,[11120.849],10709.312728813558
275,[13911.372],14297.666237288136
276,[14755.447],15542.418254237287
277,[14121.005],14156.597271186443
278,[12163.963],11803.57723728813
279,[10944.608],10354.636067796608
280,[10827.629],10262.716728813552
281,[8410.261],7454.574898305089
282,[8401.129],8007.927237288139
283,[9137.997],9103.882559322035
284,[8035.668],7098.4273220338955
285,[8904.687],7996.9859830508485
286,[4783.089],3301.952728813561
287,[2979.853],1255.4619491525427
288,[6790.091],5597.35472881356
289,[7533.075],6945.741169491524
290,[7544.079],7235.427474576269
291,[7241.992],6184.210983050843
292,[7262.964],6060.023932203389
293,[4129.476],2512.096881355931
294,[2510.699],753.7029322033907
295,[6925.924],5733.235186440682
296,[7781.297],7235.973745762716
297,[7305.41],6965.0649152542355
298,[7109.537],6022.978898305086
299,[7121.066],5914.357389830505
300,[3985.45],2305.2476949152538
301,[2281.888],430.0908474576275
302,[6553.126],5600.109593220343
303,[7233.841],6920.962627118643
304,[7065.071],6994.133644067795
305,[18754.095],19582.667610169505
306,[19212.214],19966.48098305085
307,[15207.452],15432.467050847463
308,[13280.94],13306.22542372881
309,[6785.633],6739.831644067794
310,[7164.931],6864.909847457628
311,[7324.797],7288.381677966102
312,[7140.445],6378.926220338982
313,[6960.421],6027.967711864408
