,DLY_QTY,DLY_AWD_QTY,TYPE,DLY_PRICE,DLY_AWD_PRICE
2017-02-01 01:00:00,345.148,345.148,BID,0.0,54.99999999999999
2017-02-01 02:00:00,305.045,305.045,BID,0.0,54.989999999999995
2017-02-01 03:00:00,289.311,289.311,BID,0.0,51.81
2017-02-01 04:00:00,296.153,296.153,BID,0.0,51.099999999999994
2017-02-01 05:00:00,296.959,296.959,BID,0.0,49.99999999999999
2017-02-01 06:00:00,343.69199999999995,343.69199999999995,BID,0.0,53.00000000000001
2017-02-01 07:00:00,338.757,338.757,BID,0.0,61.09999999999999
2017-02-01 08:00:00,455.732,455.732,BID,0.0,77.7
2017-02-01 09:00:00,486.96500000000003,486.96500000000003,BID,0.0,94.03000000000002
2017-02-01 10:00:00,514.214,514.214,BID,0.0,100.10999999999999
2017-02-01 11:00:00,515.091,515.091,BID,0.0,99.23
2017-02-01 12:00:00,508.864,508.864,BID,0.0,94.49000000000001
2017-02-01 13:00:00,459.139,459.139,BID,0.0,73.66000000000001
2017-02-01 14:00:00,440.624,440.624,BID,0.0,72.67
2017-02-01 15:00:00,442.349,442.349,BID,0.0,79.34
2017-02-01 16:00:00,436.802,436.802,BID,0.0,84.28999999999999
2017-02-01 17:00:00,435.391,435.391,BID,0.0,95.21
2017-02-01 18:00:00,479.33299999999997,479.33299999999997,BID,0.0,83.65
2017-02-01 19:00:00,547.3489999999999,547.3489999999999,BID,0.0,96.16000000000001
2017-02-01 20:00:00,503.856,503.856,BID,0.0,86.51
2017-02-01 21:00:00,448.40000000000003,448.40000000000003,BID,0.0,74.98999999999998
2017-02-01 22:00:00,395.26399999999995,395.26399999999995,BID,0.0,67.43
2017-02-01 23:00:00,442.645,442.645,BID,0.0,61.870000000000005
2017-02-02 00:00:00,377.753,377.753,BID,0.0,55.95
2017-02-02 01:00:00,343.598,343.598,BID,0.0,53.0
2017-02-02 02:00:00,300.589,300.589,BID,0.0,51.0
2017-02-02 03:00:00,294.638,294.638,BID,0.0,51.00000000000001
2017-02-02 04:00:00,292.48400000000004,292.48400000000004,BID,0.0,50.33
2017-02-02 05:00:00,288.932,288.932,BID,0.0,51.0
2017-02-02 06:00:00,310.515,310.515,BID,0.0,52.00000000000001
2017-02-02 07:00:00,334.608,334.608,BID,0.0,62.13000000000001
2017-02-02 08:00:00,449.02000000000004,449.02000000000004,BID,0.0,72.11
2017-02-02 09:00:00,473.897,473.897,BID,0.0,85.58000000000001
2017-02-02 10:00:00,496.22999999999996,496.22999999999996,BID,0.0,76.69000000000001
2017-02-02 11:00:00,495.668,495.668,BID,0.0,73.08000000000001
2017-02-02 12:00:00,484.526,484.526,BID,0.0,72.81
2017-02-02 13:00:00,436.039,436.039,BID,0.0,61.86
2017-02-02 14:00:00,419.611,419.611,BID,0.0,60.800000000000004
2017-02-02 15:00:00,423.157,423.157,BID,0.0,67.88
2017-02-02 16:00:00,420.905,420.905,BID,0.0,69.47
2017-02-02 17:00:00,422.532,422.532,BID,0.0,70.17
2017-02-02 18:00:00,470.83,470.83,BID,0.0,73.57
2017-02-02 19:00:00,537.547,537.547,BID,0.0,77.44999999999999
2017-02-02 20:00:00,492.871,492.871,BID,0.0,75.79
2017-02-02 21:00:00,454.882,454.882,BID,0.0,68.81
2017-02-02 22:00:00,395.978,395.978,BID,0.0,63.03
2017-02-02 23:00:00,427.38800000000003,427.38800000000003,BID,0.0,58.83
2017-02-03 00:00:00,366.65700000000004,366.65700000000004,BID,0.0,54.01
2017-02-03 01:00:00,350.37100000000004,350.37100000000004,BID,0.0,49.99999999999999
2017-02-03 02:00:00,308.95,308.95,BID,0.0,48.31
2017-02-03 03:00:00,306.379,306.379,BID,0.0,47.0
2017-02-03 04:00:00,285.104,285.104,BID,0.0,47.23
2017-02-03 05:00:00,300.625,300.625,BID,0.0,47.99
2017-02-03 06:00:00,335.079,335.079,BID,0.0,49.52
2017-02-03 07:00:00,345.025,345.025,BID,0.0,60.739999999999995
2017-02-03 08:00:00,446.74,446.74,BID,0.0,76.22
2017-02-03 09:00:00,473.037,473.037,BID,0.0,95.88
2017-02-03 10:00:00,498.483,498.483,BID,0.0,81.82
2017-02-03 11:00:00,488.222,488.222,BID,0.0,78.94
2017-02-03 12:00:00,469.439,469.439,BID,0.0,74.13
2017-02-03 13:00:00,418.18399999999997,418.18399999999997,BID,0.0,62.19
2017-02-03 14:00:00,395.206,395.206,BID,0.0,61.39999999999999
2017-02-03 15:00:00,395.364,395.364,BID,0.0,63.02000000000001
2017-02-03 16:00:00,393.546,393.546,BID,0.0,63.99000000000001
2017-02-03 17:00:00,395.277,395.277,BID,0.0,63.51
