,gen1,prof1
0,1145,113018.34927389145
1,683,82733.78239828952
2,1141,97730.86074298239
3,789,83975.34743420413
4,640,76266.48792693917
5,1097,108061.14277773659
6,1121,107990.88388129591
7,1026,101901.45440681558
8,812,95138.21591546359
9,702,80633.2607551733
10,480,66957.05461442652
11,725,77101.77662574586
12,256,43337.1484014013
13,822,87352.84985250894
14,676,78767.99093839874
15,635,71339.47303047814
16,961,99396.78947601904
17,776,93099.83726452163
18,445,64441.81326854079
19,203,35084.31904911381
20,635,77050.5102800463
21,366,48082.50525143861
22,796,87801.36405073054
23,248,42349.86370412215
24,426,59627.056014991336
25,587,75910.50059404549
26,829,90357.65287262356
27,256,46536.52039333651
28,873,93426.6378582633
29,1125,106354.65672178968
30,820,88665.07531532383
31,700,73276.6243350208
32,727,83473.53059007444
33,840,91760.8354193822
34,626,80446.51281647633
35,319,48396.93859752362
36,236,39466.135748684945
37,674,76550.36844302979
38,718,78499.40904245304
39,679,78806.78010212047
40,781,91003.5840564277
41,439,59764.646555680374
42,691,77947.04130399328
43,1043,103003.90603750834
44,489,64452.69976052808
45,505,67598.67876621112
46,531,76535.69240551068
47,528,73286.014261403
48,932,94183.70546994096
49,645,74857.48245998549
50,426,63415.21261834281
51,927,96650.1613888811
52,476,70869.46297959062
53,845,90988.80309448356
54,833,83376.41984875347
55,1111,100772.19628557816
56,625,74990.67988325871
57,640,67214.06223881319
58,456,63007.85065280385
59,524,66904.58629736422
60,386,58503.17408799801
61,436,55724.94505880331
62,636,77116.36286004454
63,739,87233.9159006662
64,811,90113.24783951954
65,574,73082.98508162539
66,478,72093.47421684966
67,979,90817.23792061054
68,614,70727.10363887972
69,647,73527.84580722653
70,848,88175.81110330313
71,801,81865.38673566973
72,565,78490.57992702408
73,724,85674.8883556858
74,566,76380.79969461485
75,463,57664.67841046015
76,903,93717.62458296819
77,262,42600.70819512227
78,719,87247.68438878571
79,910,98664.27257463371
80,791,80092.0134241708
81,693,80118.50612040811
82,416,54827.27856607854
83,620,80675.45254108637
84,421,56548.58213217488
85,743,85856.8893912507
86,883,95766.78534171014
87,509,69084.39816555628
88,855,93814.19760180364
89,528,63681.162626040445
90,976,101595.18346308393
91,488,67425.43205495864
92,1054,103960.96928960652
93,288,48305.22073066144
94,426,73750.71853307872
95,399,51195.534285264104
96,1014,102083.52582798447
97,658,77979.73384791065
98,453,64149.44991230032
99,1721,138808.8381374823
100,357,51356.57900342635
101,597,67539.71588957828
102,724,76453.40598722294
103,263,39059.68330652013
104,670,77111.42383594434
105,997,98132.41403719208
106,375,52792.431336517155
107,1165,111642.36177737663
108,580,63544.05010888018
109,887,95884.78006374952
110,817,88187.31372751722
111,722,86842.01917455535
112,396,56721.13020668614
113,308,48551.27213893515
114,832,90664.47682921909
115,500,68676.47716281819
116,437,65694.19733541163
117,820,90223.76573428829
118,868,93523.495895804
119,807,89446.62161762494
120,577,77972.13263245428
121,676,79190.89492902959
122,351,50872.052277961135
123,703,82156.12327581292
124,715,83621.44032199537
125,861,89887.09423695489
126,854,89355.79234416035
127,716,77906.40558200414
128,531,66689.2081072794
129,347,48552.04434801913
130,772,88034.1549086113
131,393,58800.35004569341
132,892,97300.44616945036
133,1064,101973.66065509724
134,428,67621.1189594333
135,793,85101.32142896978
136,259,45651.73436502667
137,872,90807.48185418223
138,770,81818.11066044454
139,690,79120.15914297599
140,363,50785.01240326082
141,322,51340.58757069045
142,1041,108359.16660680888
143,800,87830.5627024017
144,459,66157.03386412186
145,749,84897.83387855723
146,677,77819.89050522634
147,498,66700.25939603349
148,1309,122824.43038614534
149,543,71634.40644900924
150,479,59792.91997265392
151,619,68570.1836983667
152,1340,116668.96438843275
153,852,89576.39746580688
154,324,50820.34337714632
155,599,81138.79530283374
156,20,160.32361265425982
157,1362,129954.27268979712
158,472,68085.01545950983
159,1050,100602.07524802434
160,665,83038.49758229876
161,356,51182.05566295442
162,1023,105337.72904514539
163,1197,105478.54754751455
164,353,50252.515865183945
165,1234,111960.64856251256
166,829,85715.14441797092
167,485,61865.220354770034
168,570,75012.58548423182
169,696,81389.55562707294
170,475,63229.972262345895
171,894,102475.6367614351
172,1362,118418.20369474441
173,1018,92110.84901224583
174,1079,110049.20970968503
175,397,62767.819384731585
176,1032,96223.4558995756
177,369,54126.18493718826
178,602,73164.22561161913
179,693,98382.35908289926
180,463,56844.04850063029
181,798,88363.55129900176
182,524,65820.1433422842
183,475,66996.38409158998
184,286,49735.79902997682
185,468,58490.546478767305
186,432,57636.48071149998
187,396,58841.201696709286
188,609,76068.77185470497
189,499,72117.12800482636
190,358,56236.63323205478
191,445,62757.44116692633
192,422,55029.32078227142
193,470,62912.51581393412
194,741,82222.82500033194
195,769,87528.77598057644
196,787,81131.10334774139
197,794,82376.88065626328
198,667,80426.50164914383
199,564,78828.14713453354
200,667,75916.4700500917
201,887,92744.32144364355
202,745,88031.72280667641
203,603,73226.63410848888
204,532,66926.61876586948
205,935,99556.00387134447
206,1094,100173.93109894519
207,391,56977.88877762655
