op,max
ITALGEN S.P.A.,42182.0
ENERGY FINANCING TEAM AG,102.0
VATTENFALL ENERGY TRADING GMBH,523.0
REPOWER ITALIA SPA,1633901.0
ENERCITY S.R.L.,236430.0
ACEA ENERGIA SPA,35766.3
ENEL GLOBAL TRADING SPA,124.0
EN.E.R. TRADING S.P.A.,410748.02
YOUTRADE SPA - IN LIQUIDAZIONE,35276.77
SHELL ENERGY EUROPE LIMITED,191256490.77
ENEL PRODUZIONE S.P.A.,57935356.559999995
METAENERGIA SPA,417323.47
NGC 6611 SRL,3078.66
GREEN NETWORK SPA,117977.46
BANCO ENERGIA SPA,750909.6199999999
GEN-I TRGOVANJE IN PRODAJA ELEKTRICNE ENERGIJE D.O.O.,3345.0
DUFERCO ENERGIA S.P.A.,1674199.1600000001
EP PRODUZIONE SPA,9257143.0
C.U.RA. CONSORZIO UTILITIES RAVENNA S.C.R.L.,698910.06
ENOI S.P.A.,1481733.8
DOLOMITI ENERGIA TRADING SPA,444002.06
VOLTON HELLENIC ENERGY S.A.,19.0
AXPO ITALIA SPA,94127425.61
WATT AND VOLT S.A.,148.0
SENTRADE S.A.,20.0
INTERENERGO D.O.O.,20857.0
EDELWEISS ENERGIA S.P.A.,2157438.7700000005
ELECTRADE SPA,648070.13
ROMA GAS E POWER SPA,54780.0
BURGO ENERGIA S.R.L.,228636.0
GSE SPA,15785521.390000002
EDISON SPA,26663715.220000003
API N??VA ENERGIA A R.L.,282915.83
2V ENERGY SRL,143557.35
NOVAERA ENERGY SA,4.0
4ENERGIA SRL,513249.24
MERCURIA ENERGY TRADING SA,280.0
DXT COMMODITIES SA,8733005.61
DUFENERGY TRADING SA,10259538.049999999
NECO S.A.,60.0
E.ON ENERGIA SPA,4687.0
CRE SCPA CONSORZIO PER LE RISORSE ENERGETICHE SCPA,209272.5
IN COMMODITIES A/S,864.0
DANSKE COMMODITIES A.S,10841.010000000002
FREE ENERGIA SPA,40749.4
A2A ENERGIEFUTURE S.P.A.,1410276.88
BAYWA R.E. CLEAN ENERGY S.R.L.,98.0
EDP RENEWABLES ITALIA HOLDING SRL,342758.72
RENEWABLE DISPATCHING S.R.L.,5865.0
A2A SPA,438939.9
EZPADA S.R.O.,783.0
TIRRENO POWER S.P.A.,6969415.51
CENTRALSCHWEIZERISCHE KRAFTWERKE AG (CKW AG),450.0
ENSCO ENERGY SERVICES COMPANY AG,268.0
IREN ENERGIA SPA,116543.59999999999
ECOWAY SPA,412764.77
ECOWAY SRL,464650.82
ENGIE ITALIA SPA,5000233.4
ILLUMIA SPA,17190.07
FENICE S.P.A.,92233.07
FENIX SRL,149498.25
EVIVA SPA,11913688.1
TRAILSTONE GMBH,379904.76999999996
GAZPROM MARKETING & TRADING LIMITED,150.0
COMPAGNIE NATIONALE DU RHONE (CNR),175.0
IWB INDUSTRIELLE WERKE BASEL,100.0
STATKRAFT MARKETS GMBH,312.0
ECO TRADE SRL,544237.0
HSE D.O.O.,229.0
GREEK ENVIRONMENTAL & ENERGY NETWORK,71.0
ISAB S.R.L.,1244547.0
ENI SPA,1842517.1099999999
C.V.A. TRADING S.R.L. A S.U.,328792.18
INTERCONSULT SRL,25758.54
CONSORZIO APUANIA ENERGIA,7.0
TERNA S.P.A.,60000.0
ENERGY.DIS S.R.L.,452632.94
HERA TRADING S.R.L.,2040708.0
EDLO ENERGY SRL,18820.0
OMPEX AG,275.0
ENERGI DANMARK A/S,1150.0
UNIPER GLOBAL COMMODITIES SE,1255.0
ERG POWER GENERATION S.P.A.,3018487.9299999997
AZIENDA ELETTRICA TICINESE,201.0
GNERA ENERGIA Y TECNOLOGIA,835660.6599999999
DENCO SRL,300.0
ALPIQ SA,436841.8
PUBLIC POWER CORPORATION S.A.,110.0
MYTILINEOS GROUP OF COMPANIES SOCIETE ANONYME,422.0
RWE SUPPLY  TRADING GMBH,600.0
NEXT KRAFTWERKE GMBH,26116.899999999998
TERMICA COLLEFERRO SPA,107.5
ALPIQ ENERGIA ITALIA S.P.A.,817504.6
ENERGY.TRADE SRL,363.70000000000005
BP ENERGY EUROPE LIMITED,338707.0
BKW ENERGIE AG,278810.30999999994
NRG TRADING HOUSE SA,406.0
VEOS SPA,12141.04
EDF TRADING LIMITED,650.0
EUROPE ENERGY S.P.A.,137087.0
SERVIZI UNINDUSTRIA MULTIUTILITIES SPA,135085.0
ENECO SRL,118505.95
MAG ENERGY EUROPE INC,600.0
BANCO ENERGIA FORNITURE SRL,5781.0
SEV ENERGIES SPA,113852.0
INNOVENERGY S.R.L.,105.0
ZENERGIA SRL,2016.95
SEA ENERGIA SPA,31587.0
OTTANA ENERGIA SPA,120186.2
ENERGIA E TERRITORIO SPA,325.0
EOLICA ENERGIA SRL,13691.0
NVALUE SA,675.0
ITAL GREEN ENERGY SRL,21836.350000000002
NOVA AEG S.P.A.,14419.0
SORGENIA S.P.A.,9950667.33
ALPIQ AG,172319.0
SOENERGY SRL,1484.0
EGEA COMMERCIALE S.R.L.,19204.04
EVISO S.R.L.,106.41
FRI-EL TRADING SRL,89000.4
INTERCONSULT SPA,22534.36
POWERMART APS,194.0
NEAS ENERGY A/S,1319.0
AXOPOWER SPA,2199.0
CER SCARL,2.9
NEWATT SRL,101.0
GEOENERGIE S.P.A.,12.84
GLOBAL POWER S.P.A.,246.0
DALMINE SPA,144.0
ENERGIE S.R.L.,7.5
LUMINA S.R.L.,7.5
SASOL ITALY SPA,112446.0
GAS RIMINI SPA,2386.03
ASPM ENERGIA S.R.L.,72.0
"ELPEDISON POWER GNERATION SA (ELPEDISON SA),",195.0
ALPERIA TRADING SRL,308415.0
MFT ENERGY,240.0
EGO ENERGY S.R.L.,194807288.26999998
FALCK NEXT ENERGY SRL,212505.41
AXPO SOLUTIONS AG,1650.0
