,y,y_hat
0,[276.69383333],258.5947033898306
1,[240.54470833],218.96018290960455
2,[226.95520833],221.7776772598871
3,[222.45],220.74050847457616
4,[359.9885],353.8849237288137
5,[377.12066667],367.07046271442914
6,[219.47475],187.96891384180788
7,[131.18975],87.71306638418082
8,[218.67120833],191.16864336158199
9,[220.36441667],213.33899293785305
10,[211.69941667],208.639925141243
11,[201.21366667],175.21714124293786
12,[149.63779167],110.54061652542381
13,[134.09204167],91.18167443502831
14,[91.2145],43.91715536723163
15,[147.90475],109.59628672316384
16,[213.46666667],205.90110734463266
17,[191.4615],187.10497457627127
18,[196.35654167],168.3231631355933
19,[169.64516667],132.92717796610168
20,[174.19441667],138.0963262711864
21,[109.92504167],65.11245974576268
22,[221.165375],194.6273185028248
23,[103.412625],80.64759675141245
24,[203.72172222],201.0381930320151
25,[193.1305],164.65969209039557
26,[187.55816667],153.26905932203383
27,[192.10070833],145.86113206214688
28,[115.79658333],23.627459039548086
29,[49.88642857],-16.722728006456798
30,[206.34611765],181.9732013958125
31,[216.77566667],204.0260056497175
32,[220.25672222],179.7345994188512
33,[174.57666667],122.46119209039544
34,[176.68175],125.90711723163828
35,[105.52908333],46.162524011299396
36,[202.75104167],158.34409054839855
37,[192.97920833],168.41279590395484
38,[191.457125],177.04650353107345
39,[193.06470833],152.4117535310734
40,[176.34104167],127.81452754237296
41,[168.42770833],116.81917161016958
42,[102.26117391],43.84196585605509
43,[195.10625],152.28045903954805
44,[179.86145833],156.8536165254236
45,[184.72804167],171.4652733050847
46,[188.3895],149.56395762711873
47,[175.99979167],130.68770127118637
48,[173.55625],126.15388841807898
49,[110.96130435],57.4950461802997
50,[196.494625],158.6919357344633
51,[192.328625],171.83159675141238
52,[206.40395833],193.2456362994351
53,[210.304875],174.78909681282235
54,[196.01683333],154.28566949152537
55,[178.490625],132.6209922316385
56,[108.63578261],53.57526725620244
57,[195.875],153.88100564971748
58,[197.90591667],177.08119350282482
59,[216.51566667],208.3559152542373
60,[198.89929167],193.25245550847455
61,[142.88308333],131.4834731638418
62,[153.539375],144.19556144067806
63,[130.29629167],99.15158545197744
64,[226.21766667],205.75624293785313
65,[217.61908333],217.3674675141243
66,[228.10495833],241.24600353107348
67,[210.56841667],209.46973305084737
68,[196.02454167],192.7242196327684
69,[194.40895833],192.06448940677967
70,[167.65858333],163.1087415254237
71,[276.07970833],293.2243749999999
72,[285.5395],306.0747485875706
73,[293.98404167],321.47821680790963
74,[259.109375],274.187968220339
75,[267.46204167],274.7834484463278
76,[273.12895833],284.2025120056497
77,[167.81575],163.94581214689268
78,[276.60183333],291.10443220338965
79,[316.287625],335.5545007062147
80,[311.53958333],338.8771483050847
81,[319.179125],332.4691249999999
82,[312.83858333],341.23532344632775
83,[303.51725],317.0488469868175
84,[187.081875],186.26172245762712
85,[296.44920833],311.214095338983
86,[293.661],307.4318870056499
87,[280.8575],303.2386412429377
88,[275.03070833],305.55874626715064
89,[260.03575],267.3157001495515
90,[374.97454167],396.4252365819209
91,[299.10970833],309.801638653484
92,[429.37216667],463.92070903954817
93,[451.8265],489.13426271186466
94,[428.85225],472.6926793785312
95,[454.761],488.93184180790973
96,[468.06816667],505.36836440677985
97,[427.40291667],459.395566384181
98,[349.87158333],371.1335324858758
99,[480.76579167],522.0437238700566
100,[489.55616667],533.0990084745765
101,[534.39029167],592.9840669447904
102,[488.95116667],528.7945451977401
103,[505.63245833],549.8047973163835
104,[447.21354167],482.8047959039547
105,[368.49616667],392.91740960451983
106,[490.86133333],533.5544237288133
107,[528.144625],576.2244046610168
108,[554.42295833],614.5533520940796
109,[532.12829167],577.6379413841811
110,[508.167375],550.9929682203392
111,[444.83570833],477.1654371468925
112,[365.054],386.03693220338977
113,[470.48245833],507.69813629943513
114,[488.522375],530.5605783898305
115,[503.32520833],556.8424186010805
116,[514.49845833],557.7016351068403
117,[481.58154167],520.0460331920906
118,[395.83858333],420.15355508474585
119,[342.85425],362.37356638418083
120,[433.18666667],472.54986440677936
121,[454.8535],495.709652542373
122,[478.15720833],525.3247902542373
123,[524.7185],565.1931892655366
124,[491.70958333],528.8743968926553
