,y,y_hat
0,[276.69383333],274.4314420903955
1,[240.54470833],237.84664265536725
2,[226.95520833],226.3080169491526
3,[222.45],222.23631355932199
4,[359.9885],359.2255529661017
5,[377.12066667],375.864391172637
6,[219.47475],215.53652048022596
7,[131.18975],125.7551645480226
8,[218.67120833],215.2333877118644
9,[220.36441667],219.48623870056497
10,[211.69941667],211.31698022598874
11,[201.21366667],197.96410098870058
12,[149.63779167],144.75064477401133
13,[134.09204167],128.72824576271188
14,[91.2145],85.30233192090394
15,[147.90475],143.1161920903955
16,[213.46666667],212.52097175141242
17,[191.4615],190.9169343220339
18,[196.35654167],192.8523693502825
19,[169.64516667],165.05541807909606
20,[174.19441667],169.68215536723167
21,[109.92504167],104.32346892655367
22,[221.165375],217.84811793785306
23,[103.412625],100.56699646892656
24,[203.72172222],203.3862810734463
25,[193.1305],189.57164901129946
26,[187.55816667],183.27202824858756
27,[192.10070833],186.32076129943505
28,[115.79658333],104.27544279661018
29,[49.88642857],41.5602839991929
30,[206.34611765],203.29950311565307
31,[216.77566667],215.18195903954802
32,[220.25672222],215.19145687180088
33,[174.57666667],168.06223234463278
34,[176.68175],170.33492090395475
35,[105.52908333],98.10826341807909
36,[202.75104167],197.20017277688316
37,[192.97920833],189.90840677966102
38,[191.457125],189.65579731638422
39,[193.06470833],187.98308898305086
40,[176.34104167],170.27522740112997
41,[168.42770833],161.9766412429379
42,[102.26117391],94.95877290591996
43,[195.10625],189.75302612994352
44,[179.86145833],176.9854781073446
45,[184.72804167],183.0701956214689
46,[188.3895],183.53630720338984
47,[175.99979167],170.3357803672316
48,[173.55625],167.63095480225985
49,[110.96130435],104.27802207688526
50,[196.494625],191.76928884180785
51,[192.328625],189.76649646892656
52,[206.40395833],204.75916807909604
53,[210.304875],205.86540272660275
54,[196.01683333],190.80043785310735
55,[178.490625],172.7569209039548
56,[108.63578261],101.753218189634
57,[195.875],190.62575070621466
58,[197.90591667],195.30282627118638
59,[216.51566667],215.495697740113
60,[198.89929167],198.1934371468927
61,[142.88308333],141.45813206214692
62,[153.539375],152.37139830508474
63,[130.29629167],126.40320338983051
64,[226.21766667],223.65998870056498
65,[217.61908333],217.58763135593222
66,[228.10495833],229.74758898305086
67,[210.56841667],210.43108121468921
68,[196.02454167],195.6120014124294
69,[194.40895833],194.1158997175141
70,[167.65858333],167.08985310734462
71,[276.07970833],278.22279166666664
72,[285.5395],288.10640607344635
73,[293.98404167],297.420813559322
74,[259.109375],260.9941991525424
75,[267.46204167],268.37721751412425
76,[273.12895833],274.51315254237284
77,[167.81575],167.3320077683616
78,[276.60183333],278.41465819209037
79,[316.287625],318.69598446327683
80,[311.53958333],314.95677895480225
81,[319.179125],320.84037499999994
82,[312.83858333],316.38817584745766
83,[303.51725],305.20869962335223
84,[187.081875],186.97935593220336
85,[296.44920833],298.2948192090396
86,[293.661],295.38236087570624
87,[280.8575],283.65514265536723
88,[275.03070833],278.84671307506045
89,[260.03575],260.94574376869394
90,[374.97454167],377.6558785310735
91,[299.10970833],300.44619962335213
92,[429.37216667],433.6907344632769
93,[451.8265],456.48997033898314
94,[428.85225],434.33230367231647
95,[454.761],459.03235522598874
96,[468.06816667],472.73069138418083
97,[427.40291667],431.401997881356
98,[349.87158333],352.5293269774011
99,[480.76579167],485.9255331920904
100,[489.55616667],494.9990218926555
101,[534.39029167],541.7145135764321
102,[488.95116667],493.93158898305086
103,[505.63245833],511.15400070621445
104,[447.21354167],451.6624484463277
105,[368.49616667],371.5488220338984
106,[490.86133333],496.19796963276826
107,[528.144625],534.1545974576271
108,[554.42295833],561.9392575534266
109,[532.12829167],537.8169978813559
110,[508.167375],513.5205741525424
111,[444.83570833],448.8769244350283
112,[365.054],367.67686652542375
113,[470.48245833],475.13441807909606
114,[488.522375],493.77715042372887
115,[503.32520833],510.0148596168018
116,[514.49845833],519.8988554300216
117,[481.58154167],486.38960310734467
118,[395.83858333],398.8779548022599
119,[342.85425],345.29416454802254
120,[433.18666667],438.10706638418065
121,[454.8535],459.9605190677967
122,[478.15720833],484.05315607344636
123,[524.7185],529.777836158192
124,[491.70958333],496.35518502824857
125,[393.96270833],396.77385663841824
126,[290.99575],292.35892514124293
127,[362.49770833],365.31928742937845
128,[366.80325],369.7251871468926
129,[381.7015],385.32934604519767
130,[368.94291667],370.5168693502825
131,[346.16583333],347.1933983050847
132,[347.941875],348.85641454802266
133,[296.9255],297.56645127118645
134,[378.60066667],380.48437217514123
135,[287.543625],287.78794138418067
136,[366.637375],370.00723305084745
137,[409.64466667],411.8996299435028
138,[396.16175],397.51554872881354
139,[316.72083333],316.8086511299434
140,[295.45154167],295.0493792372882
141,[394.76304167],396.1515918079096
142,[421.64091667],423.64301271186446
143,[403.24654167],406.9103495762712
144,[423.25816667],425.4074710451978
145,[429.535625],431.8385847457628
146,[389.15525],390.9908050847457
147,[333.27320833],334.2603693502825
148,[460.345625],463.7407076271186
149,[445.06191667],446.2498382768361
150,[525.912625],529.7567422316384
151,[526.87729167],528.5299209039548
152,[583.33833333],585.5673474576273
153,[450.73575],451.1066567796609
154,[398.42154167],397.46663559322025
155,[577.65308333],579.5104548022599
156,[609.92866667],613.0223234463277
157,[591.19825],595.2885348890634
158,[573.02254167],574.5862153954802
159,[576.562375],578.037056497175
160,[432.197375],430.4652916666667
161,[345.40470833],342.9717175141244
162,[403.488875],401.7576278248588
163,[407.85745833],407.19040607344635
164,[415.84325],416.6457429378531
165,[434.47966667],433.5240451977401
166,[386.05825],383.6500063559322
167,[258.434],253.4172379943503
168,[314.77579167],311.0918509887005
169,[402.48429167],400.6930529648781
170,[402.93570833],402.2255388418079
171,[385.21341667],385.55510169491527
172,[411.31766667],410.31487358757056
173,[379.43545833],377.58652754237283
174,[244.272625],239.88190324858752
175,[296.53620833],292.84193290960445
176,[375.960125],374.1699333924884
177,[384.61804167],384.4278629943503
178,[379.41891667],380.0386567796611
179,[388.497625],387.74018361581926
180,[377.02404167],375.70489830508484
181,[238.44479167],234.38186935028247
182,[323.46870833],320.05769491525416
183,[532.63075],533.3243290960451
184,[578.3055],581.4299540960451
185,[577.77],582.6305805084746
186,[557.3995],560.70292019774
187,[569.71445833],573.1536313559321
188,[432.60058333],433.463279661017
189,[340.97204167],340.497959039548
190,[541.27754167],544.5845197740111
191,[590.74641667],594.8617478813558
192,[582.95495833],587.8029152542373
193,[571.50266667],574.7721920903955
194,[567.340875],572.0832012711866
195,[421.16608333],422.09029872881376
196,[331.48975],330.1650903954802
197,[520.97583333],523.0913262711865
198,[569.068625],573.3457062146891
199,[574.62304167],579.3547620056497
200,[578.19070833],581.2996518361582
201,[569.78820833],572.299179378531
202,[431.56920833],432.0492548343663
203,[334.89466667],333.3969802259888
204,[537.34883333],539.1761758474577
205,[577.221375],580.408936440678
206,[581.42095833],585.6268524011299
207,[570.028875],571.8879131355933
208,[557.780625],559.6911115819208
209,[417.05129167],415.20618432203383
210,[325.51983333],322.1069950564972
211,[540.48433333],539.7579943502826
212,[566.073625],568.0285042372882
213,[375.790375],375.4067959039548
214,[569.60841667],569.4720663841807
215,[589.830375],589.4897259887006
216,[460.9355],458.72765677966106
217,[372.98058333],369.59004166666665
218,[577.438],577.452841101695
219,[617.57533333],620.7173326271187
220,[637.31879167],642.2664879943503
221,[624.74404167],628.4941292372881
222,[644.10191667],648.1060600282485
223,[470.87466667],471.8074025423728
224,[391.23295833],390.4999632768363
225,[622.82575],626.8387584745763
226,[649.95758333],656.5935762711863
227,[654.43620833],660.1931645480224
228,[654.05154167],658.3153933615819
229,[649.438375],653.6163862994352
230,[494.36091667],496.21087429378525
231,[409.18266667],409.1464802259887
232,[626.79695833],630.9895261299437
233,[672.27695833],679.5312690677965
234,[669.068625],675.3827337570622
235,[644.52270833],649.0746165254237
236,[655.0835],659.6676603107345
237,[491.794],493.69866242937854
238,[408.97729167],409.324404661017
239,[630.12095833],634.410736581921
240,[667.52258333],674.7950882768363
241,[682.37258333],688.4556998587572
242,[664.1205],666.3491398305084
243,[565.90091667],565.6906694915253
244,[397.55495833],394.500466101695
245,[316.17641667],312.08788983050846
246,[526.80716667],526.0799244350281
247,[568.72895833],571.0362189265536
248,[564.49858333],568.2871687853108
249,[545.6025],545.675804378531
250,[296.80908333],291.82709463276836
251,[390.73279167],387.4747888418079
252,[316.39],312.0660564971752
253,[531.52691667],530.9199004237287
254,[576.55266667],579.1863375706214
255,[588.78866667],593.1496652542373
256,[584.602625],585.68104519774
257,[591.452875],591.8322690677967
258,[428.08608333],425.6024060734463
259,[336.56158333],332.4661744350282
260,[553.90283333],553.6335896892656
261,[598.19295833],601.0170896892656
