,MGPpO,MGPqO,MGPpD,MGPqD,MIpO,MIqO,MIpD,MIqD,MSDpO,MSDqO,MSDpD,MSDqD,op
0,8.898305045436608,2096.669439800715,200.0,1479.2613132282838,0.0,316.85287216962394,0.0,60.635594147126085,235.0,624.0,0.02500000037252903,624.0,2V ENERGY SRL
1,0.0,0.0,97.62711864406779,294.91525423728814,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,WATT AND VOLT S.A.
2,-1.0,-1.0,0.0,383.6957764093924,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A.B. ENERGIE SPA
3,-1.0,-1.0,0.0,107185.10831567796,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ACQUIRENTE UNICO S.P.A.
4,-1.0,-1.0,0.0,18.683135751950537,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ALTEA ENERGIA SPA
5,-1.0,-1.0,0.0,48.55433784096928,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,CAMER PETROLEUM EUROPA SRL
6,0.0,1113.931354070114,220.0,164.0108308953754,0.0,134.5099941835565,220.0,57.22405036021087,-1.0,-1.0,-1.0,-1.0,ENERGY.DIS S.R.L.
7,0.0,0.0,0.0,6516.264979475635,0.0,0.0,0.0,7.826271453589261e-07,-1.0,-1.0,-1.0,-1.0,REPOWER ITALIA SPA
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,-1.0,-1.0,-1.0,-1.0,PUBLIC POWER CORPORATION S.A.
9,10.795969445826644,2746.64406779661,0.0,2398.033896550733,2.220446049250313e-16,0.0,14.986571291875336,2318.3898340267947,-1.0,-1.0,-1.0,-1.0,ENERGI DANMARK A/S
10,-1.0,-1.0,0.0,6.449339061775149,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,POMI GAS  POWER SRL
11,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,POLISENERGIA S.R.L.
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.V.A. TRADING S.R.L. A S.U.
13,-1.0,-1.0,0.0,75.50004913847326,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENERG.IT S.P.A.
14,-1.0,-1.0,200.0,175.1802187127582,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,PASSUELLO FRATELLI SRL
15,268.7388967084876,546.7796610169491,201.88861989166776,2.0720338983050857,0.0,0.0,0.0,0.0,500.0,1440.0,0.10000000149011612,480.0,OTTANA ENERGIA SPA
16,-1.0,-1.0,0.0,36.46623683027666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENERFIN SRL
17,-1.0,-1.0,0.0,127.48693653688592,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,OPTIMA ITALIA SPA
18,21.7608579700276,11960.994008209746,0.0,4116.720418868176,52.35744696148371,3203.8529032044494,23.044499219474147,0.0,1459.724739721266,2774.49195262352,4.313916918305976,2503.2373377913136,ALPIQ ENERGIA ITALIA S.P.A.
19,0.008305081975977763,1299.727003194518,79.6590585223699,1888.0747153072034,50.463705806408896,202.41793228408036,43.19612483654992,1295.9312082064355,266.6666564941406,38.0,0.0,0.0,C.U.RA. CONSORZIO UTILITIES RAVENNA S.C.R.L.
20,193.87098166073108,277820.24205508473,14.379661366090936,6888.941174523306,7.179443529096701,7367.088238215042,90.65377367957164,7181.170286016949,209.02021349890757,91929.96848516949,22.31375201150788,38076.323159427964,ENEL PRODUZIONE S.P.A.
21,-1.0,-1.0,32.15719934237205,1153.9661016949153,0.0,302.7118644067797,149.23728813076355,78.93220338983052,-1.0,-1.0,-1.0,-1.0,NRG TRADING HOUSE SA
22,0.0,88.84593019647113,250.37937966039624,4127.710796808792,2.0204964590320174e-08,41.821406024997515,200.07629743673033,575.3556161654197,-1.0,-1.0,-1.0,-1.0,NOVA AEG S.P.A.
23,-1.0,-1.0,0.0,44.73062828839836,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENEIDE S.R.L.
24,10.0,2.472406702021421,200.0,39.86104984606727,16.682726811554474,1203.6175241308697,30.347027794789458,10600.627697960805,-1.0,-1.0,-1.0,-1.0,NEWATT SRL
25,44.23728813559322,40.67796610169492,72.45788082834018,3527.2203389830506,0.0,549.7966101694915,100.0,2.033983327574642,-1.0,-1.0,-1.0,-1.0,MYTILINEOS GROUP OF COMPANIES SOCIETE ANONYME
26,16.027304374564963,1765.8974878343486,0.0,95.87252730030124,41.779111700542906,1150.0730539095605,36.83458632129734,349.5764483435679,75.0,0.017999999225139618,0.0,0.0,BURGO ENERGIA S.R.L.
27,-1.0,-1.0,0.0,413.58261263572564,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,ENEGA SRL
28,-1.0,-1.0,78.30508483952276,5.296271372649629,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,MINERAL BARIUM ITALIA GAS E LUCE SRL
29,0.0,0.0,0.0,172.17989680997812,2.220446049250313e-16,0.0,0.0,0.0,3048.8355939186226,1181.7659260378045,0.0,241.22033898305085,METAENERGIA SPA
30,-1.0,-1.0,70.22013324802205,3485.1858613610166,35.42209360155009,109.89810335838189,4.9214141247636185,78.82344255609027,-1.0,-1.0,-1.0,-1.0,ENEGAN POWER TRADING SRL
31,-1.0,-1.0,0.0,224.86924019506424,-1.0,-1.0,120.50847457627118,59.64667898921643,-1.0,-1.0,-1.0,-1.0,LENERGIA SPA
32,0.0,1996.7769092624471,0.0,9.279898449525994,1.6163971605642757e-08,8.081988411845487e-09,2.220446049250313e-16,0.0,-1.0,-1.0,-1.0,-1.0,ITAL GREEN ENERGY SRL
33,6.624970003621685,3098.533989340572,0.0,114.2902063919326,0.0,46.92347303487487,87.90446821309753,1.4735420518002296,350.4633483886719,0.0,1.6666666263892302,0.0,ACEA ENERGIA SPA
34,6.061489307013224e-09,5444.402550272649,13.610878895905058,2216.237288135593,0.17700201475014163,570.4657656782765,56.63123708602459,54.622546179819906,-1.0,-1.0,-1.0,-1.0,ALPIQ AG
35,0.0,15.913220510553327,13.217792579109117,1589.6081874006886,40.351761844755885,33.271998997462,22.95430807339943,104.82535462460275,-1.0,-1.0,-1.0,-1.0,BLUENERGY GROUP SPA
