,_id,DLY_QTY,DLY_GAIN,DLY_AWD_QTY,DLY_AWD_GAIN,TYPE,DATE,HOUR
0,"{'DATE': '20191215', 'HOUR': 23.0, 'TYPE': 'OFF'}",855.909,8983.0,855.909,38087.9505,OFF,20191215,23.0
1,"{'DATE': '20191215', 'HOUR': 22.0, 'TYPE': 'OFF'}",708.989,43.0,708.989,33159.415530000006,OFF,20191215,22.0
2,"{'DATE': '20191215', 'HOUR': 21.0, 'TYPE': 'OFF'}",703.11,43.0,703.11,34276.6125,OFF,20191215,21.0
3,"{'DATE': '20191215', 'HOUR': 18.0, 'TYPE': 'OFF'}",798.538,3963.0,798.538,39495.68948,OFF,20191215,18.0
4,"{'DATE': '20191215', 'HOUR': 17.0, 'TYPE': 'OFF'}",815.141,3963.0,815.141,38393.1411,OFF,20191215,17.0
5,"{'DATE': '20191215', 'HOUR': 15.0, 'TYPE': 'OFF'}",729.199,43.0,729.199,29955.494919999997,OFF,20191215,15.0
6,"{'DATE': '20191215', 'HOUR': 12.0, 'TYPE': 'OFF'}",721.804,43.0,721.804,28944.3404,OFF,20191215,12.0
7,"{'DATE': '20191215', 'HOUR': 11.0, 'TYPE': 'OFF'}",794.57,2923.0,794.57,32084.736600000004,OFF,20191215,11.0
8,"{'DATE': '20191215', 'HOUR': 10.0, 'TYPE': 'OFF'}",798.753,2923.0,798.753,33587.56365,OFF,20191215,10.0
9,"{'DATE': '20191215', 'HOUR': 8.0, 'TYPE': 'OFF'}",744.054,43.0,744.054,28467.506039999997,OFF,20191215,8.0
10,"{'DATE': '20191215', 'HOUR': 6.0, 'TYPE': 'OFF'}",751.4060000000001,43.0,751.4060000000001,21760.71776,OFF,20191215,6.0
11,"{'DATE': '20191215', 'HOUR': 5.0, 'TYPE': 'OFF'}",593.62,43.0,593.62,17096.256,OFF,20191215,5.0
12,"{'DATE': '20191215', 'HOUR': 2.0, 'TYPE': 'OFF'}",882.743,8983.0,882.743,31116.690749999998,OFF,20191215,2.0
13,"{'DATE': '20191215', 'HOUR': 1.0, 'TYPE': 'OFF'}",874.451,8983.0,874.451,35196.65275,OFF,20191215,1.0
14,"{'DATE': '20191215', 'HOUR': 23.0, 'TYPE': 'BID'}",541.613,0.0,541.613,24155.939800000004,BID,20191215,23.0
15,"{'DATE': '20191215', 'HOUR': 22.0, 'TYPE': 'BID'}",584.3520000000001,0.0,584.3520000000001,28925.424000000003,BID,20191215,22.0
